Ave	Max	MaxTime	Psd	Ring	Rms	Width	Rp	Rm	A
49.87298 	0.77572 	1075	658752.87982 	3072	74.35692 	4250	318.00 	385.00 	35.70 
49.98811 	0.76764 	1000	645877.46128 	2960	73.84141 	4125	318.00 	385.00 	35.70 
45.89174 	0.59790 	500	554764.71281 	3356	64.34663 	5525	254.00 	356.00 	42.10 
46.53781 	0.60395 	750	567519.47790 	3424	65.47577 	5825	254.00 	356.00 	42.10 
46.90798 	0.59522 	775	566319.94976 	3454	65.70557 	5675	254.00 	356.00 	42.10 
47.01608 	0.64403 	750	570992.80893 	3227	66.33252 	5425	254.00 	356.00 	42.10 
45.99767 	0.62470 	725	563346.69182 	3342	64.72008 	5750	254.00 	356.00 	42.10 
46.47695 	0.60694 	425	573326.74612 	3402	65.75805 	5475	254.00 	356.00 	42.10 
46.10827 	0.61562 	900	558963.48253 	3334	64.85002 	5500	254.00 	356.00 	42.10 
46.15636 	0.61056 	375	565037.38553 	3334	65.13944 	5675	254.00 	356.00 	42.10 
49.83133 	0.65906 	775	609142.28542 	3397	70.43740 	5250	254.00 	356.00 	42.10 
49.96914 	0.67012 	600	606916.61968 	3335	70.10154 	5700	254.00 	356.00 	42.10 
50.52936 	0.64797 	825	615768.22287 	3483	71.09761 	6025	254.00 	356.00 	42.10 
50.00726 	0.64185 	725	605454.13561 	3460	70.20078 	5900	254.00 	356.00 	42.10 
51.05298 	0.66966 	750	620556.82633 	3436	71.81711 	5550	254.00 	356.00 	42.10 
49.98068 	0.64723 	650	605536.45871 	3421	70.12812 	5925	254.00 	356.00 	42.10 
50.00573 	0.63974 	300	605646.26934 	3440	69.97636 	5825	254.00 	356.00 	42.10 
49.76842 	0.63282 	1025	598601.47027 	3402	69.74505 	5575	254.00 	356.00 	42.10 
45.05776 	0.58732 	750	547674.75041 	3368	63.40876 	5225	254.00 	356.00 	42.10 
44.63407 	0.61196 	625	542728.68100 	3275	62.92960 	5600	254.00 	356.00 	42.10 
44.86175 	0.58457 	1075	544051.32541 	3366	63.01330 	5550	254.00 	356.00 	42.10 
44.69100 	0.59649 	625	542502.02623 	3387	62.78467 	5650	254.00 	356.00 	42.10 
45.23867 	0.61392 	875	556188.81648 	3339	63.93251 	5225	254.00 	356.00 	42.10 
45.48733 	0.61341 	750	554913.62825 	3285	64.21989 	5825	254.00 	356.00 	42.10 
44.53626 	0.56705 	925	546998.30350 	3442	62.77749 	5550	254.00 	356.00 	42.10 
45.25877 	0.60698 	725	549185.63977 	3267	63.65620 	5650	254.00 	356.00 	42.10 
45.12104 	0.57553 	850	545707.00987 	3446	63.43776 	5500	254.00 	356.00 	42.10 
47.01725 	0.62942 	575	570034.86877 	3380	65.91095 	5575	254.00 	356.00 	42.10 
46.73656 	0.63126 	800	567783.56801 	3255	65.87480 	5475	254.00 	356.00 	42.10 
46.81161 	0.61069 	575	567021.84636 	3466	65.64079 	5575	254.00 	356.00 	42.10 
47.34915 	0.63453 	625	578748.25197 	3283	66.89082 	5325	254.00 	356.00 	42.10 
47.09612 	0.61466 	550	573088.19756 	3424	66.14243 	5600	254.00 	356.00 	42.10 
46.37550 	0.58940 	600	567081.76016 	3463	65.27205 	5800	254.00 	356.00 	42.10 
46.90979 	0.64852 	650	571449.49246 	3212	66.22715 	5700	254.00 	356.00 	42.10 
46.67809 	0.62108 	875	566607.94712 	3315	65.77016 	5300	254.00 	356.00 	42.10 
48.21566 	0.63895 	900	590038.41498 	3315	68.08520 	5525	254.00 	356.00 	42.10 
48.53773 	0.63917 	525	594988.50460 	3387	68.33619 	5550	254.00 	356.00 	42.10 
48.85634 	0.61057 	725	588808.69656 	3390	68.38667 	5725	254.00 	356.00 	42.10 
49.03130 	0.64820 	400	597311.52930 	3318	69.00310 	5800	254.00 	356.00 	42.10 
48.01515 	0.61621 	825	582618.81860 	3432	67.49239 	5600	254.00 	356.00 	42.10 
48.15847 	0.63203 	550	581040.92830 	3324	67.54799 	5800	254.00 	356.00 	42.10 
48.10653 	0.60373 	500	584001.02005 	3457	67.59173 	5700	254.00 	356.00 	42.10 
48.19576 	0.66494 	575	581055.52614 	3246	67.69819 	5100	254.00 	356.00 	42.10 
48.08886 	0.61390 	600	585673.46678 	3501	67.40725 	5725	254.00 	356.00 	42.10 
46.93595 	0.62005 	775	573250.61953 	3330	66.32247 	5400	254.00 	356.00 	42.10 
47.30495 	0.65537 	1000	579650.88014 	3232	66.96125 	5575	254.00 	356.00 	42.10 
46.99993 	0.62835 	550	575680.50066 	3371	66.25704 	5575	254.00 	356.00 	42.10 
47.39994 	0.63446 	900	578011.43462 	3313	66.86332 	5300	254.00 	356.00 	42.10 
47.27731 	0.64545 	600	582130.25950 	3287	66.87433 	5600	254.00 	356.00 	42.10 
47.04922 	0.61821 	525	572568.89669 	3415	66.20373 	5500	254.00 	356.00 	42.10 
47.95602 	0.63137 	650	583446.87977 	3396	67.57928 	5875	254.00 	356.00 	42.10 
46.66696 	0.60927 	700	571224.15199 	3426	65.79703 	5425	254.00 	356.00 	42.10 
